phase0,phase1,phase2,phase3,q_right,q_down,q_left,q_up,avg_wait_right,avg_wait_down,avg_wait_left,avg_wait_up,max_wait_right,max_wait_down,max_wait_left,max_wait_up,action
0.0,0.0,0.0,1.0,0.15,0.2,0.05,0.0,0.24509259259278765,0.8740277777784733,0.05777777777782376,0.0,0.3977777777780943,0.9836111111118939,0.05777777777782376,0.0,1
0.0,0.0,0.0,1.0,0.0,0.25,0.2,0.05,0.0,0.32127777777803346,0.22569444444462405,0.0,0.0,0.6944444444449971,0.5655555555560057,0.0,1
0.0,1.0,0.0,0.0,0.1,0.0,0.1,0.25,0.13833333333344341,0.0,0.3298611111113736,0.636444444444951,0.22444444444462305,0.0,0.6069444444449275,1.0,3
0.0,1.0,0.0,0.0,0.05,0.25,0.2,0.05,0.31861111111136464,0.24916666666686496,0.578680555556016,0.5833333333337976,0.31861111111136464,0.7777777777783967,0.956111111111872,0.5833333333337976,1
0.0,1.0,0.0,0.0,0.25,0.0,0.1,0.05,0.3586111111113965,0.0,0.1911111111112632,0.08583333333340164,0.714444444445013,0.0,0.37444444444474245,0.08583333333340164,0
0.0,1.0,0.0,0.0,0.1,0.0,0.2,0.15,0.10944444444453154,0.0,0.5083333333337379,0.0889814814815523,0.15444444444456734,0.0,0.8822222222229243,0.13361111111121743,2
0.0,0.0,0.0,1.0,0.2,0.0,0.15,0.0,0.2698611111113259,0.0,0.4693518518522254,0.0,0.5577777777782217,0.0,0.9402777777785261,0.0,0
0.0,1.0,0.0,0.0,0.4,0.0,0.25,0.1,0.36583333333362444,0.0,0.7296111111116917,0.5359722222226487,0.8011111111117486,0.0,1.0,0.9166666666673962,0
0.0,0.0,1.0,0.0,0.1,0.05,0.0,0.3,0.37611111111141043,0.05888888888893575,0.0,0.22972222222240504,0.4211111111114462,0.05888888888893575,0.0,0.4002777777780963,3
1.0,0.0,0.0,0.0,0.05,0.0,0.15,0.05,0.0,0.0,0.316296296296548,0.36916666666696046,0.0,0.0,0.6577777777783013,0.36916666666696046,2
1.0,0.0,0.0,0.0,0.1,0.0,0.4,0.0,0.0,0.0,0.6436111111116233,0.0,0.0,0.0,1.0,0.0,2
0.0,0.0,1.0,0.0,0.05,0.1,0.0,0.05,0.17999999999994382,0.08027777777770477,0.0,0.6525000000003198,0.17999999999994382,0.08861111111103052,0.0,0.6525000000003198,1
0.0,0.0,0.0,1.0,0.45,0.15,0.15,0.05,0.4259876543211032,0.17592592592589398,0.037037037037003354,0.0,0.8477777777781962,0.37555555555559816,0.11111111111101006,0.0,0
1.0,0.0,0.0,0.0,0.1,0.1,0.3,0.1,0.0,0.06833333333327118,0.9124537037041927,0.9193055555560025,0.0,0.06944444444438129,1.0,1.0,2
0.0,0.0,1.0,0.0,0.1,0.05,0.0,0.25,0.3249999999997132,0.19416666666649007,0.0,0.04205555555551731,0.34388888888859365,0.19416666666649007,0.0,0.20694444444425622,3
0.0,1.0,0.0,0.0,0.05,0.0,0.05,0.1,0.3966666666664134,0.0,0.0,0.4701388888889179,0.3966666666664134,0.0,0.0,0.8691666666667894,3
0.0,0.0,1.0,0.0,0.15,0.1,0.05,0.15,0.18277777777761153,0.38499999999964984,0.0,0.8810185185185726,0.2783333333330802,0.38611111111075996,0.0,1.0,0
1.0,0.0,0.0,0.0,0.0,0.25,0.15,0.1,0.0,0.36533333333307794,0.3517592592589393,0.08361111111103507,0.0,0.7588888888885829,0.49444444444399477,0.1669444444442926,1
0.0,0.0,0.0,1.0,0.1,0.05,0.45,0.0,0.30666666666644155,0.07277777777771159,0.7446913580248932,0.0,0.6133333333328831,0.07277777777771159,1.0,0.0,2
0.0,0.0,0.0,1.0,0.3,0.1,0.05,0.1,0.20277777777759629,0.292499999999734,0.008611111111103279,0.6334722222221028,0.6272222222216693,0.4774999999995657,0.008611111111103279,1.0,0
1.0,0.0,0.0,0.0,0.0,0.25,0.05,0.15,0.0,0.6343333333328333,0.09138888888880577,1.0,0.0,0.8422222222218404,0.09138888888880577,1.0,1
1.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
1.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.03249999999999989,0.0,0.0,0.0,0.03249999999999989,3
1.0,0.0,0.0,0.0,0.05,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1.0,0.0,0.0,0.0,0.0,0.05,0.0,0.1,0.0,0.13250000000000656,0.0,0.024583333333334543,0.0,0.13250000000000656,0.0,0.049166666666669086,3
1.0,0.0,0.0,0.0,0.0,0.0,0.1,0.05,0.0,0.0,0.06569444444444768,0.0355555555555573,0.0,0.0,0.10777777777778311,0.0355555555555573,2
0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.07562499999999812,0.0,0.0,0.0,0.17416666666666558,3
1.0,0.0,0.0,0.0,0.0,0.15,0.05,0.0,0.0,0.03046296296296123,0.1911111111111117,0.0,0.0,0.09138888888888369,0.1911111111111117,0.0,1
0.0,0.0,1.0,0.0,0.0,0.0,0.05,0.1,0.0,0.0,0.0,0.18874999999999117,0.0,0.0,0.0,0.25222222222221163,3
0.0,0.0,0.0,1.0,0.1,0.05,0.05,0.0,0.08680555555555063,0.3658333333333266,0.05777777777777449,0.0,0.13694444444443665,0.3658333333333266,0.05777777777777449,0.0,0
0.0,0.0,0.0,1.0,0.1,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,1.0,0.05,0.0,0.1,0.05,0.1263888888888817,0.0,0.09111111111110597,0.0,0.1263888888888817,0.0,0.17444444444443458,0.0,2
0.0,1.0,0.0,0.0,0.0,0.05,0.15,0.05,0.0,0.0,0.2537962962962865,0.023055555555554243,0.0,0.0,0.38222222222221197,0.023055555555554243,2
1.0,0.0,0.0,0.0,0.0,0.15,0.2,0.1,0.0,0.2605555555555455,0.08284722222221753,0.330138888888872,0.0,0.5991666666666469,0.2911111111110946,0.410555555555536,2
