phase0,phase1,phase2,phase3,q_right,q_down,q_left,q_up,avg_wait_right,avg_wait_down,avg_wait_left,avg_wait_up,max_wait_right,max_wait_down,max_wait_left,max_wait_up,downstream_right,downstream_down,downstream_left,downstream_up,action
0.0,1.0,0.0,0.0,0.05,0.25,0.15,0.1,0.0,0.16244444444443526,0.43046296296294456,0.08694444444443951,0.0,0.2780555555555398,0.49361111111109685,0.12611111111110393,0.2,0.0,0.0,0.16666666666666666,2
0.0,1.0,0.0,0.0,0.1,0.05,0.25,0.0,0.06847222222221833,0.0,0.1693333333333237,0.0,0.13694444444443665,0.0,0.3161111111110932,0.0,0.0,0.0,0.36666666666666664,0.2,2
0.0,1.0,0.0,0.0,0.05,0.0,0.05,0.2,0.0,0.0,0.2069444444444327,0.4526388888888668,0.0,0.0,0.2069444444444327,0.6538888888888661,0.23333333333333334,0.3,0.0,0.0,3
0.0,0.0,1.0,0.0,0.05,0.25,0.0,0.1,0.020277777777776625,0.26716666666665145,0.0,0.056666666666663444,0.020277777777776625,0.4433333333333082,0.0,0.11333333333332689,0.0,0.23333333333333334,0.26666666666666666,0.0,1
0.0,0.0,1.0,0.0,0.05,0.3,0.3,0.1,0.23249999999998677,0.339722222222203,0.20087962962961822,0.353611111111091,0.23249999999998677,0.5302777777777476,0.3994444444444218,0.39277777777775547,0.26666666666666666,0.0,0.0,0.2,1
0.0,0.0,1.0,0.0,0.15,0.3,0.05,0.1,0.22453703703702435,0.31430555555553774,0.0,0.09486111111110578,0.420277777777754,0.5424999999999691,0.0,0.18972222222221155,0.0,0.0,0.5,0.16666666666666666,0
0.0,0.0,0.0,1.0,0.05,0.1,0.15,0.0,0.234722222222209,0.09805555555555004,0.4162037037036802,0.0,0.234722222222209,0.14944444444443608,0.5722222222221899,0.0,0.13333333333333333,0.4,0.0,0.0,2
0.0,1.0,0.0,0.0,0.05,0.0,0.05,0.1,0.30361111111109396,0.0,0.011666666666666003,0.32999999999998136,0.30361111111109396,0.0,0.011666666666666003,0.39666666666664424,0.0,0.5333333333333333,0.2,0.0,0
0.0,1.0,0.0,0.0,0.15,0.0,0.4,0.25,0.2064814814814698,0.0,0.39274305555553324,0.3062777777777604,0.5491666666666356,0.0,0.6738888888888506,0.7094444444444042,0.5,0.0,0.0,0.2,2
1.0,0.0,0.0,0.0,0.0,0.55,0.1,0.1,0.0,0.41133838383836047,0.1511111111111025,0.3293055555555369,0.0,0.7924999999999549,0.24277777777776396,0.43972222222219737,0.0,0.0,0.5333333333333333,0.16666666666666666,1
1.0,0.0,0.0,0.0,0.0,0.0,0.05,0.2,0.0,0.0,0.22833333333332034,0.3336111111110922,0.0,0.0,0.22833333333332034,0.6133333333332985,0.0,0.5666666666666667,0.26666666666666666,0.0,3
0.0,0.0,1.0,0.0,0.1,0.1,0.0,0.2,0.30027777777776077,0.3647222222222016,0.0,0.03722222222222011,0.5013888888888605,0.41611111111108756,0.0,0.09333333333332802,0.16666666666666666,0.5666666666666667,0.0,0.0,0
1.0,0.0,0.0,0.0,0.0,0.1,0.0,0.2,0.0,0.5980555555555216,0.0,0.25458333333331884,0.0,0.6494444444444076,0.0,0.3266666666666481,0.16666666666666666,0.4,0.0,0.0,1
0.0,0.0,0.0,1.0,0.1,0.05,0.1,0.0,0.38749999999997803,0.0,0.2558333333333188,0.0,0.5847222222221891,0.0,0.5116666666666376,0.0,0.0,0.43333333333333335,0.2,0.0,2
0.0,0.0,1.0,0.0,0.35,0.0,0.0,0.3,0.31599206349204556,0.0,0.0,0.5644444444444123,0.9324999999999471,0.0,0.0,1.0,0.4,0.0,0.0,0.2,3
0.0,1.0,0.0,0.0,0.1,0.0,0.35,0.2,0.0934722222222169,0.0,0.2410714285714149,0.49020833333330555,0.1869444444444338,0.0,0.6761111111110727,0.8730555555555061,0.0,0.0,0.43333333333333335,0.23333333333333334,3
0.0,1.0,0.0,0.0,0.05,0.0,0.1,0.5,0.059444444444441066,0.0,0.3033333333333161,0.5631944444444125,0.059444444444441066,0.0,0.5949999999999662,1.0,0.23333333333333334,0.43333333333333335,0.0,0.0,3
0.0,0.0,1.0,0.0,0.1,0.1,0.0,0.2,0.6201388888888537,0.127222222222215,0.0,0.5035416666666381,0.7999999999999546,0.2286111111110981,0.0,0.9563888888888347,0.0,0.3,0.5333333333333333,0.0,3
0.0,0.0,0.0,1.0,0.35,0.2,0.2,0.0,0.6659920634920257,0.5053472222221935,0.0361805555555535,0.0,1.0,0.9744444444443892,0.07638888888888455,0.0,0.3333333333333333,0.0,0.0,0.36666666666666664,0
0.0,0.0,0.0,1.0,0.15,0.0,0.35,0.0,0.23472222222220887,0.0,0.5410714285713978,0.0,0.48694444444441676,0.0,0.9761111111110556,0.0,0.0,0.0,0.5,0.2,2
0.0,0.0,0.0,1.0,0.3,0.1,0.15,0.0,0.35606481481486424,0.460555555555657,0.08759259259264857,0.0,1.0,0.5619444444445402,0.19805555555567195,0.0,0.0,0.23333333333333334,0.43333333333333335,0.0,0
0.0,0.0,0.0,1.0,0.25,0.15,0.3,0.0,0.24877777777793147,0.15027777777786683,0.4465740740742616,0.0,0.5094444444446284,0.35722222222241484,0.9769444444446018,0.0,0.26666666666666666,0.5666666666666667,0.0,0.0,2
0.0,0.0,1.0,0.0,0.55,0.05,0.05,0.1,0.6887626262627234,0.0,0.0,0.13375000000010645,1.0,0.0,0.0,0.18138888888903323,0.0,0.0,0.5666666666666667,0.2,0
1.0,0.0,0.0,0.0,0.05,0.2,0.55,0.15,0.0,0.8886805555557891,0.623863636363789,0.0653703703704224,0.0,1.0,1.0,0.09861111111118959,0.5,0.0,0.0,0.5333333333333333,2
1.0,0.0,0.0,0.0,0.0,0.1,0.2,0.05,0.0,0.7938888888892557,0.3354861111113678,0.018055555555569924,0.0,0.8952777777781388,0.5313888888892706,0.018055555555569924,0.0,0.3333333333333333,0.3333333333333333,0.0,1
0.0,0.0,1.0,0.0,0.3,0.25,0.0,0.0,0.5390740740744662,0.2955555555557724,0.0,0.0,0.859444444444907,0.7072222222226934,0.0,0.0,0.2,0.3,0.0,0.0,0
0.0,1.0,0.0,0.0,0.0,0.05,0.3,0.1,0.0,0.0,0.41412037037069305,0.15069444444456437,0.0,0.0,0.8147222222228294,0.30138888888912874,0.0,0.5333333333333333,0.2,0.0,2
0.0,0.0,1.0,0.0,0.1,0.3,0.0,0.2,0.19930555555571416,0.92134259259301,0.0,0.42305555555589225,0.30083333333357276,1.0,0.0,0.5486111111115477,0.5,0.0,0.0,0.16666666666666666,1
1.0,0.0,0.0,0.0,0.05,0.25,0.15,0.3,0.0,0.5169444444447499,0.2457407407409363,0.3987962962966137,0.0,1.0,0.4227777777781142,0.6647222222227512,0.0,0.0,0.4,0.3333333333333333,1
1.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.5427314814818981,0.0,0.0,0.0,1.0,0.0,0.0,0.4666666666666667,0.3333333333333333,0.0,0.0,1
0.0,0.0,1.0,0.0,0.4,0.25,0.0,0.1,0.6780208333338452,0.15666666666679135,0.0,0.4551388888892511,1.0,0.3358333333336006,0.0,0.6513888888894073,0.0,0.4666666666666667,0.3,0.0,0
0.0,1.0,0.0,0.0,0.05,0.1,0.2,0.35,0.2150000000001711,0.0,0.4573611111114751,0.6565476190481415,0.2150000000001711,0.0,0.7561111111117128,0.9980555555563498,0.0,0.0,0.5333333333333333,0.5,3
0.0,1.0,0.0,0.0,0.25,0.05,0.15,0.25,0.27516666666688566,0.41527777777810826,0.09629629629637293,0.6748333333338704,0.7008333333338911,0.41527777777810826,0.16111111111123932,0.948611111111866,0.5,0.0,0.0,0.36666666666666664,3
0.0,1.0,0.0,0.0,0.0,0.1,0.55,0.0,0.0,0.0,0.456742424242784,0.0,0.0,0.0,1.0,0.0,0.4666666666666667,0.4,0.0,0.0,2
0.0,0.0,0.0,1.0,0.1,0.2,0.2,0.0,0.3858333333336404,0.14965277777789687,0.8240277777784335,0.0,0.5816666666671295,0.3175000000002527,1.0,0.0,0.0,0.0,0.43333333333333335,0.7,2
1.0,0.0,0.0,0.0,0.05,0.4,0.1,0.55,0.0,0.3808333333336364,0.17666666666680725,0.7706565656571789,0.0,0.7358333333339189,0.24888888888908695,1.0,0.0,0.36666666666666664,0.36666666666666664,0.0,3
0.0,0.0,0.0,1.0,0.35,0.15,0.15,0.0,0.4910317460321368,0.2843518518520781,0.39685185185216765,0.0,1.0,0.7483333333339288,0.4944444444448379,0.0,0.36666666666666664,0.0,0.0,0.36666666666666664,0
0.0,0.0,1.0,0.0,0.0,0.1,0.0,0.4,0.0,0.4200000000003342,0.0,0.7981597222228575,0.0,0.4525000000003601,0.0,1.0,0.5,0.4666666666666667,0.0,0.0,3
0.0,0.0,1.0,0.0,0.5,0.4,0.0,0.05,0.567027777778229,0.27152777777799386,0.0,0.0,1.0,0.6508333333338513,0.0,0.0,0.0,0.0,0.5,0.4666666666666667,0
1.0,0.0,0.0,0.0,0.0,0.25,0.5,0.0,0.0,0.44822222222257896,0.6643055555560842,0.0,0.0,1.0,1.0,0.0,0.7,0.0,0.0,0.2,2
