phase0,phase1,phase2,phase3,q_right,q_down,q_left,q_up,avg_wait_right,avg_wait_down,avg_wait_left,avg_wait_up,max_wait_right,max_wait_down,max_wait_left,max_wait_up,downstream_right,downstream_down,downstream_left,downstream_up,action
1.0,0.0,0.0,0.0,0.0,0.0,0.2,0.15,0.0,0.0,0.32000000000006246,0.42722222222236783,0.0,0.0,0.6255555555557971,0.9080555555560219,0.0,0.7666666666666667,0.5666666666666667,0.0,3
0.0,0.0,0.0,1.0,0.1,0.05,0.25,0.0,0.07972222222214971,0.0,0.48361111111095406,0.0,0.11222222222212015,0.0,0.9088888888888728,0.0,0.0,0.6,0.43333333333333335,0.0,2
0.0,1.0,0.0,0.0,0.2,0.05,0.15,0.1,0.1280555555554391,0.0,0.3468518518515422,0.553333333332949,0.265555555555314,0.0,0.4938888888884572,0.6033333333329888,0.6,0.0,0.0,0.5,2
0.0,0.0,0.0,1.0,0.55,0.1,0.25,0.0,0.8470707070706699,0.15069444444430738,1.0,0.0,1.0,0.2419444444442244,1.0,0.0,0.0,0.0,0.3333333333333333,0.3,0
0.0,0.0,1.0,0.0,0.5,0.2,0.0,0.15,0.23208333333322229,0.5915277777776281,0.0,0.32472222222192687,0.9347222222220277,1.0,0.0,0.42055555555517304,0.16666666666666666,0.36666666666666664,0.0,0.0,0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03333333333333333,0.06666666666666667,0.0,0.0,0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.025277777777777694,0.0,0.0,0.0,0.025277777777777694,0.0,0.06666666666666667,0.0,0.0,3
1.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06666666666666667,0.0,0.0,0.0,2
1.0,0.0,0.0,0.0,0.0,0.0,0.05,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06666666666666667,0.03333333333333333,0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06666666666666667,0.13333333333333333,0.0,0.0,3
1.0,0.0,0.0,0.0,0.0,0.0,0.1,0.05,0.0,0.0,0.028888888888889675,0.041944444444446075,0.0,0.0,0.05777777777777935,0.041944444444446075,0.0,0.0,0.13333333333333333,0.06666666666666667,2
0.0,0.0,0.0,1.0,0.0,0.05,0.0,0.0,0.0,0.06583333333333657,0.0,0.0,0.0,0.06583333333333657,0.0,0.0,0.0,0.03333333333333333,0.06666666666666667,0.0,1
0.0,0.0,1.0,0.0,0.0,0.1,0.05,0.1,0.0,0.03527777777777719,0.0,0.08444444444444679,0.0,0.060277777777777194,0.0,0.16888888888889358,0.03333333333333333,0.0,0.0,0.06666666666666667,3
0.0,0.0,0.0,1.0,0.0,0.05,0.15,0.05,0.0,0.09916666666666268,0.024537037037035643,0.0,0.0,0.09916666666666268,0.07361111111110692,0.0,0.1,0.16666666666666666,0.0,0.0,2
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.24194444444444532,0.0,0.0,0.0,0.24194444444444532,0.0,0.0,0.23333333333333334,0.06666666666666667,3
0.0,1.0,0.0,0.0,0.0,0.05,0.05,0.05,0.0,0.0,0.09027777777777264,0.12527777777777066,0.0,0.0,0.09027777777777264,0.12527777777777066,0.0,0.1,0.3,0.0,3
0.0,0.0,0.0,1.0,0.0,0.15,0.15,0.0,0.0,0.16796296296295438,0.18046296296295875,0.0,0.0,0.27694444444443156,0.243611111111111,0.0,0.13333333333333333,0.0,0.0,0.26666666666666666,1
0.0,0.0,1.0,0.0,0.0,0.25,0.05,0.15,0.0,0.15911111111110243,0.0,0.25425925925924964,0.0,0.3324999999999828,0.0,0.3705555555555488,0.13333333333333333,0.2,0.0,0.0,1
0.0,0.0,0.0,1.0,0.0,0.1,0.15,0.0,0.0,0.1786111111111045,0.041111111111108795,0.0,0.0,0.29083333333332384,0.08277777777777313,0.0,0.0,0.0,0.2,0.13333333333333333,1
0.0,0.0,0.0,1.0,0.0,0.2,0.1,0.0,0.0,0.10083333333332761,0.16180555555554638,0.0,0.0,0.22666666666665383,0.32361111111109275,0.0,0.0,0.16666666666666666,0.16666666666666666,0.0,2
